timestamp,carbon_intensity_kg_per_mwh
2024-07-01 00:00:00,464.663849379987
2024-07-01 01:00:00,442.56037714698607
2024-07-01 02:00:00,374.38524309256155
2024-07-01 03:00:00,390.06722620193347
2024-07-01 04:00:00,401.54227116209466
2024-07-01 05:00:00,449.22357733440657
2024-07-01 06:00:00,425.6517396583859
2024-07-01 07:00:00,435.34634480922455
2024-07-01 08:00:00,397.1967816174754
2024-07-01 09:00:00,397.6092824945895
2024-07-01 10:00:00,428.95627433445424
2024-07-01 11:00:00,421.16548661870894
2024-07-01 12:00:00,430.9747763772825
2024-07-01 13:00:00,416.24658018143094
2024-07-01 14:00:00,472.15030264754625
2024-07-01 15:00:00,513.1623816981022
2024-07-01 16:00:00,562.8345683952771
2024-07-01 17:00:00,592.0247383200883
2024-07-01 18:00:00,561.4692088441969
2024-07-01 19:00:00,555.0546288931829
2024-07-01 20:00:00,613.9015566850625
2024-07-01 21:00:00,599.6390745464377
2024-07-01 22:00:00,526.8667602233118
2024-07-01 23:00:00,472.80329186908745
2024-07-02 00:00:00,468.56812453859766
2024-07-02 01:00:00,438.61676452701056
2024-07-02 02:00:00,455.9518904486863
2024-07-02 03:00:00,430.325951442029
2024-07-02 04:00:00,412.5656660682861
2024-07-02 05:00:00,402.13738756830276
2024-07-02 06:00:00,420.22902583341306
2024-07-02 07:00:00,414.01470592229487
2024-07-02 08:00:00,399.6986418854237
2024-07-02 09:00:00,460.97511301726576
2024-07-02 10:00:00,455.7033680414426
2024-07-02 11:00:00,442.7209736711086
2024-07-02 12:00:00,401.58299204381746
2024-07-02 13:00:00,437.1003864859456
2024-07-02 14:00:00,479.37995630841175
2024-07-02 15:00:00,518.850912484081
2024-07-02 16:00:00,572.2725259544541
2024-07-02 17:00:00,588.5919955384245
2024-07-02 18:00:00,608.666933458119
2024-07-02 19:00:00,612.7381256674443
2024-07-02 20:00:00,600.6824768920744
2024-07-02 21:00:00,540.2123500869153
2024-07-02 22:00:00,548.9516421617897
2024-07-02 23:00:00,498.87616082301747
2024-07-03 00:00:00,440.9906089656532
2024-07-03 01:00:00,453.6363323860165
2024-07-03 02:00:00,454.57990681771406
2024-07-03 03:00:00,447.18441200591224
2024-07-03 04:00:00,425.1042683371175
2024-07-03 05:00:00,447.01250241905313
2024-07-03 06:00:00,420.2410636120365
2024-07-03 07:00:00,424.0559455379556
2024-07-03 08:00:00,398.1305725907603
2024-07-03 09:00:00,427.9398260899768
2024-07-03 10:00:00,421.20771856848836
2024-07-03 11:00:00,393.94695766331074
2024-07-03 12:00:00,418.97605776366805
2024-07-03 13:00:00,418.40540872286385
2024-07-03 14:00:00,502.53865145134654
2024-07-03 15:00:00,527.8842665702682
2024-07-03 16:00:00,547.5081293954079
2024-07-03 17:00:00,580.8603188772206
2024-07-03 18:00:00,594.7508962941163
2024-07-03 19:00:00,595.941720304089
2024-07-03 20:00:00,572.2181047842666
2024-07-03 21:00:00,572.8635351290603
2024-07-03 22:00:00,532.3572554805282
2024-07-03 23:00:00,484.99368922153707
2024-07-04 00:00:00,476.81186440940434
